Title,Release Year,IMDB specification
Fathers' Day,1997,tt0119109
Fearless,1993,tt0106881
Final Analysis,1992,tt0104265
Flower Drum Song,1961,
Flubber,1997,
Forrest Gump,1994,
Foul Play,1978,tt0077578
Freebie and the Bean,1974,tt0071521
Fremont,2023,
Gentleman Jim,1942,tt0034778
George of the Jungle,1997,tt0119190
Getting Even with Dad,1994,
GirlBoss,2017,tt5706996
God is a Communist?* (show me heart universe),2010,tt2698124
Godzilla,2014,tt0831387
Golden Gate,1994,tt0109917
Goliath,2021,tt4687880
Goliath- Season 4,2021,tt4687880
Good NeighborSam,1964,tt0058153
"Goodbye, Mr.Chips",,Delete
Greed,1924,tt0015881
Groove,2000,tt0212974
Guess Who's Coming to Dinner,1967,
Haiku Tunnel,2001,
Happy Gilmore,1996,
Hard to Hold,1984,
Harold and Maude,1971,
Heart and Souls,1993,
Heart Beat,1980,tt0080854
"Hello Frisco, Hello",1943,
Hemingway & Gelhorn,2011,tt0423455
Herbie Rides Again,1974,
Hereafter,2010,
High Anxiety,1977,
High Crimes,2002,
Homeward Bound II: Lost in San Francisco,1996,
House of Sand and Fog,2003,
How Stella Got Her Groove Back,1998,
Hulk,2003,tt0286716
I Am Michael,2015,
I Remember Mama,1948,
I’m A Virgo,2023,tt13649510
Indiana Jones and the Last Crusade,1989,
Innerspace,1987,
Interview With The Vampire,1994,tt0110148
Invasion of the Body Snatchers,1978,tt0077745
I's,2011,Delete
It Came From Beneath the Sea,1955,
Jack,1996,tt0116669
Jade,1995,tt0113451
Jagged Edge,1985,tt0089360
James and the Giant Peach,1996,
Joy Luck Club,1993,tt0107282
Julie and Jack,2003,tt0358551
Junior,1994,
Just Like Heaven,2005,
Just One Night,2000,tt0201901
Kamikaze Hearts,1986,
Knife Fight,2013,tt2884170
Live Nude Girls Unite,2000,tt0264802
Looking,2014,tt2581458
"Looking ""Special""",2016,tt2581458
Looking Season 2 ep 202,2015,tt2581458
Looking Season 2 ep 203,2015,tt2581458
Looking Season 2 ep 204,2015,tt2581458
Looking Season 2 ep 205,2015,tt2581458
Looking Season 2 ep 206,2015,tt2581458
Looking Season 2 ep 207,2015,tt2581458
Looking Season 2 ep 208,2015,tt2581458
Looking Season 2 ep 209,2015,tt2581458
Looking Season 2 ep 210,2015,tt2581458
Love & Taxes,2014,tt3596382
Magnum Force,1973,
Maintenance Required,2025,tt33335602
Marnie,1964,
Maxie,1985,
Memoirs of an Invisible Man,1992,
Metro,1997,
Midnight Lace,1960,
Milk,2008,
Mission (aka City of Bars),2001,Delete
Mona Lisa Smile,2003,
Mother,1996,tt0117091
Mrs. Doubtfire,1993,
"Murder in the First, Season 1",2014,tt2402061
"Murder in the First, Season 2",2015,tt2402061
"Murder in the First, Season 3",2016,tt2402061
My Big Fat Chinese Christmas,2022,tt22262600
Nash Bridges,2021,tt10665108
Nash Bridges,2022,tt10665108
Need For Speed,2014,tt2369135
Never Die Twice,2001,tt0250612
Night of Henna,2005,
Nina Takes a Lover,1994,
Nine Months,1995,tt0113986
Nine to Five,1980,tt0080319
Nora Prentiss,1947,
On the Beach,1959,
On the Road,2012,tt0337692
Outerlands,2025,tt35319790
Pacific Heights,1990,
Pal Joey,1957,
Panther,1995,tt0114084
Parks and Recreation,2014,Delete
Patch Adams,1998,
Patty Hearst,1988,
Petulia,1968,
Phenomenon,1996,
"Play it Again, Sam",1972,
Playing Mona Lisa,2000,
Pleasure of His Company,1961,tt0055307
Point Blank,1967,tt0062138
Pretty Woman,1990,tt0100405
Psych-Out,1968,
Pushing Dead,2016,
Quicksilver,1986,
Quitters,2015,
Raising Cain,1992,
Red Diaper Baby,2004,
Red Widow,2013,
Rent,2005,
Rollerball,2002,tt0246894
Romeo Must Die,2000,
San Andreas,2015,
San Francisco,1936,
Sausalito,2000,
Sense8,2015,tt2431438
Sense8 - Season 2,2016,tt2431438
Serendipity,2001,
Serial,1980,tt0081485
Seven Girlfriends,1999,
Shadow of the Thin Man,1941,
Shang-Chi and the Legend of the Ten Rings,2021,
Shattered,1991,tt0102900
Shit and Champagne,2020,tt13023550
Shoot the Moon,1982,
Silicon Valley Season 4,2017,tt2575988
Sister Act,1992,
Sister Act 2: Back in the Habit,1993,
"Smile Again, Jenny Lee",2015,
Sneakers,1992,
So I Married an Axe Murderer,1993,
Sonic the Hedgehog,2020,
Sphere,1998,
Star Trek II : The Wrath of Khan,1982,
Star Trek IV: The Voyage Home,1986,
Star Trek VI: The Undiscovered Country,1991,
Steve Jobs,2015,
Stigmata,1999,
Street Music,1981,tt0083129
Sudden Fear,1952,
Sudden Impact,1983,
Summertime,2015,tt4080768
Super Pumped: The Battle for Uber,2022,tt11173006
Super Pumped: The Battle for Uber,2021,tt11173006
Superman,1978,tt0078346
Surface,2022,tt13694702
Surface Season 1,2022,tt13694702
Susan Slade,1961,
Sweet November,2001,tt0230838
Swing,2003,tt0358722
Swingin' Along,1961,
Take the Money and Run,1969,
Tales of the City,2019,tt7087260
Terminator - Genisys,2015,tt1340138
The Assassination of Richard Nixon,2004,
The Bachelor,1999,tt0120596
The Birds,1963,
The Bridge,2006,tt0799954
The Caine Mutiny,1954,
The Californians,2005,tt0377043
The Candidate,1972,tt0068334
The Competition,1980,tt0080556
The Conversation,1974,tt0071360
The Core,2003,
The Dead Pool,1988,
The Diary of a Teenage Girl,2015,
The Doctor,1991,tt0101746
The Doors,1991,tt0101761
The Enforcer,1976,tt0074483
The Fan,1996,tt0116277
The Fog of War,2003,
The Game,1997,
The Graduate,1967,
The House on Telegraph Hill,1951,
The Internship,2013,tt2234155
The Jazz Singer,1927,tt0018037
The Lady from Shanghai,1947,
The Last Black Man in San Francisco,2019,
The Last of the Gladiators,1988,tt0237397
The Last Thing He Told Me,2023,
The Laughing Policeman,1973,
The Lineup,1958,tt0051866
The Love Bug,1968,tt0064603
The Maltese Falcon,1941,tt0033870
The Master,2012,
The Matrix,1999,
The Matrix Resurrections,2021,
The Moon Is in Aquarius,2024,
The Net,1995,
The Nightmare Before Christmas,1993,
The OA Part II,2019,tt4635282
The Organization,1971,tt0067535
The Other Sister,1999,
The Parent Trap,1998,tt0120783
The Phone/Jexi,2019,tt9354944
The Presidio,1988,
The Princess Diaries,2001,
The Pursuit of Happyness,2006,
The Right Stuff,1983,
The Rock,1996,tt0117500
The Sweetest Thing,2002,
The Ten Commandments,1956,tt0049833
The Times of Harvey Milk,1984,
The Towering Inferno,1974,
The Wedding Planner,2001,
The Woman In Red,1984,
The Zodiac,2005,
They Call Me MISTER Tibbs,1970,tt0066450
Thief of Hearts,1984,
This Is Us,2022,Delete
Time After Time,1979,
Tin Cup,1996,
To the Ends of the Earth,1948,tt0040887
True Believer,1989,
Tucker: The Man and His Dream,1988,
Tweek City,2005,
Twisted,2004,tt0315297
Under the Tuscan Sun,2003,
Until the End of the World,1991,
Vegas in Space,1992,
Venom,2018,
Venom: Let There Be Carnage,2021,
Vertigo,1958,tt0052357
What Dreams May Come,1998,tt0120889
What the Bleep Do We Know,2004,tt0399877
What's Up Doc?,1972,
When a Man Loves a Woman,1994,
When We Rise,2017,
Woman on the Run,1950,
Woman on Top,2000,
Women is Losers,2020,
"Yours, Mine and Ours",1968,tt0063829
Zodiac,2007,tt0443706
